,branchNumber,type,openDate,id,iban,balance,currency,cust_id
39,1592,SDA,3/1/2018,fe51c153-fbec-4b64-9b00-2530035ef0e1_e5fda328-9680-4eca-8696-f2652df0c3ab,,0.0,CAD,fe51c153-fbec-4b64-9b00-2530035ef0e1_a068608b-234d-4a06-bdd7-7da8a89ac315
40,1458,DDA,3/1/2018,fe51c153-fbec-4b64-9b00-2530035ef0e1_e21b4dd9-8e74-4aa1-af1e-d2d2eeb7f68f,,-8029.25,CAD,fe51c153-fbec-4b64-9b00-2530035ef0e1_5a594c9d-3e0d-47a0-83a0-5448d10bd05a
41,1458,SDA,3/1/2018,fe51c153-fbec-4b64-9b00-2530035ef0e1_715e7f17-d805-47ae-a782-d7c48c611f1d,,27811.52,CAD,fe51c153-fbec-4b64-9b00-2530035ef0e1_5a594c9d-3e0d-47a0-83a0-5448d10bd05a
42,1636,DDA,3/1/2018,fe51c153-fbec-4b64-9b00-2530035ef0e1_f3d6c97e-cf2b-4492-9cbd-65e894a1377f,,12055.95,CAD,fe51c153-fbec-4b64-9b00-2530035ef0e1_aa24b6de-386c-4c26-b642-717bbac4e17c
43,1636,SDA,3/1/2018,fe51c153-fbec-4b64-9b00-2530035ef0e1_43e6791c-c0ac-4c71-aa38-82f4b55219c4,,30716.04,CAD,fe51c153-fbec-4b64-9b00-2530035ef0e1_aa24b6de-386c-4c26-b642-717bbac4e17c
44,1480,DDA,3/1/2018,fe51c153-fbec-4b64-9b00-2530035ef0e1_676a91ce-1021-449a-964d-6ac0f9a007b1,,23.35,CAD,fe51c153-fbec-4b64-9b00-2530035ef0e1_816411f3-3a98-4bde-95d4-b2fa48375c7a
45,1480,SDA,3/1/2018,fe51c153-fbec-4b64-9b00-2530035ef0e1_f11bb458-c3e0-4995-bcf0-876ff320befb,,46.42,CAD,fe51c153-fbec-4b64-9b00-2530035ef0e1_816411f3-3a98-4bde-95d4-b2fa48375c7a
46,1529,DDA,3/1/2018,fe51c153-fbec-4b64-9b00-2530035ef0e1_4c9982d9-7815-4005-bb80-fdc7c3d9454e,,7423.78,CAD,fe51c153-fbec-4b64-9b00-2530035ef0e1_4b2fc9ad-8a56-4596-a0a7-e725b5b269ef
47,1529,SDA,3/1/2018,fe51c153-fbec-4b64-9b00-2530035ef0e1_53ace242-c592-4467-805f-f569dac57a9b,,13006.64,CAD,fe51c153-fbec-4b64-9b00-2530035ef0e1_4b2fc9ad-8a56-4596-a0a7-e725b5b269ef
48,330,DDA,3/1/2018,fe51c153-fbec-4b64-9b00-2530035ef0e1_3ab9e37b-2933-440e-a17f-4b1e860e0602,,-14556.09,CAD,fe51c153-fbec-4b64-9b00-2530035ef0e1_6e5c985f-8aa3-440b-aa66-5d3473bfea29
49,330,SDA,3/1/2018,fe51c153-fbec-4b64-9b00-2530035ef0e1_a5792904-332d-444f-88bb-411534969c22,,17891.72,CAD,fe51c153-fbec-4b64-9b00-2530035ef0e1_6e5c985f-8aa3-440b-aa66-5d3473bfea29
50,1195,DDA,3/1/2018,fe51c153-fbec-4b64-9b00-2530035ef0e1_a266dcb7-0b0a-4989-9d9b-0a8788a73cbb,,7586.71,CAD,fe51c153-fbec-4b64-9b00-2530035ef0e1_70248bc5-b678-4329-bd3b-6f2828f1f709
51,1195,SDA,3/1/2018,fe51c153-fbec-4b64-9b00-2530035ef0e1_d62de06b-f296-445c-8b2f-0ae670e6c5bb,,4286.14,CAD,fe51c153-fbec-4b64-9b00-2530035ef0e1_70248bc5-b678-4329-bd3b-6f2828f1f709
52,1923,DDA,3/1/2018,fe51c153-fbec-4b64-9b00-2530035ef0e1_0886a3e1-432c-480f-aa40-31339550275c,,33009.11,CAD,fe51c153-fbec-4b64-9b00-2530035ef0e1_521b6b54-9632-43c4-8b98-20bcb766033d
53,1923,SDA,3/1/2018,fe51c153-fbec-4b64-9b00-2530035ef0e1_15cfa57e-a219-41c8-b2d8-3295c1154e06,,15147.4,CAD,fe51c153-fbec-4b64-9b00-2530035ef0e1_521b6b54-9632-43c4-8b98-20bcb766033d
54,31,DDA,3/1/2018,fe51c153-fbec-4b64-9b00-2530035ef0e1_f30705fc-1038-4251-9f2c-9e4e556c7223,,17569.47,CAD,fe51c153-fbec-4b64-9b00-2530035ef0e1_7190da11-4eb6-4493-bc19-3637c340d4ad
55,31,SDA,3/1/2018,fe51c153-fbec-4b64-9b00-2530035ef0e1_8f02f81a-db39-42db-8af2-343dffd45be9,,82918.4,CAD,fe51c153-fbec-4b64-9b00-2530035ef0e1_7190da11-4eb6-4493-bc19-3637c340d4ad
56,1736,DDA,3/1/2018,fe51c153-fbec-4b64-9b00-2530035ef0e1_6b626e8a-a346-40fd-baf3-fb7cbc63506e,,13597.47,CAD,fe51c153-fbec-4b64-9b00-2530035ef0e1_5822caf3-52d9-4ab2-bcd4-d2a3ed07cdcb
57,1736,SDA,3/1/2018,fe51c153-fbec-4b64-9b00-2530035ef0e1_7207440c-6601-46a5-816d-5e9f7cca7002,,10354.0,CAD,fe51c153-fbec-4b64-9b00-2530035ef0e1_5822caf3-52d9-4ab2-bcd4-d2a3ed07cdcb
58,1512,DDA,3/1/2018,fe51c153-fbec-4b64-9b00-2530035ef0e1_6de8b801-7bf2-4e3b-95b8-a19dd6a6efa2,,14958.42,CAD,fe51c153-fbec-4b64-9b00-2530035ef0e1_d932c156-9476-457f-80f6-0f7edcfb4b18
59,1512,SDA,3/1/2018,fe51c153-fbec-4b64-9b00-2530035ef0e1_f38a1ce6-b529-4294-8169-1ea2abd499ff,,16074.88,CAD,fe51c153-fbec-4b64-9b00-2530035ef0e1_d932c156-9476-457f-80f6-0f7edcfb4b18
60,193,DDA,3/1/2018,fe51c153-fbec-4b64-9b00-2530035ef0e1_9a03ce56-f3da-406e-a0fa-f3c37164debb,,17092.82,CAD,fe51c153-fbec-4b64-9b00-2530035ef0e1_010e7e27-1b33-48c9-a290-7f17f8e6db61
61,193,SDA,3/1/2018,fe51c153-fbec-4b64-9b00-2530035ef0e1_0616591c-f807-4f4f-9fb2-149417aca217,,12061.96,CAD,fe51c153-fbec-4b64-9b00-2530035ef0e1_010e7e27-1b33-48c9-a290-7f17f8e6db61
62,1857,DDA,3/1/2018,fe51c153-fbec-4b64-9b00-2530035ef0e1_de6ddc91-37f8-44ce-b127-5625932c855e,,28186.11,CAD,fe51c153-fbec-4b64-9b00-2530035ef0e1_e1a7adec-4f23-442f-9918-55d1014087f0
63,1857,SDA,3/1/2018,fe51c153-fbec-4b64-9b00-2530035ef0e1_ffcfdd0b-eeaa-4d6f-ad8c-62b3186c719d,,23692.2,CAD,fe51c153-fbec-4b64-9b00-2530035ef0e1_e1a7adec-4f23-442f-9918-55d1014087f0
64,31,DDA,3/1/2018,fe51c153-fbec-4b64-9b00-2530035ef0e1_dd313167-b394-40e1-a73a-063fe9b506cf,,31618.31,CAD,fe51c153-fbec-4b64-9b00-2530035ef0e1_cbcc5066-0ae3-42ec-8157-306cc1faa306
65,31,SDA,3/1/2018,fe51c153-fbec-4b64-9b00-2530035ef0e1_f93e6c69-2529-4007-9c74-6319456d10a1,,24711.2,CAD,fe51c153-fbec-4b64-9b00-2530035ef0e1_cbcc5066-0ae3-42ec-8157-306cc1faa306
66,1672,DDA,3/1/2018,fe51c153-fbec-4b64-9b00-2530035ef0e1_47017348-38b5-4841-aa45-67825c89a8fb,,11296.98,CAD,fe51c153-fbec-4b64-9b00-2530035ef0e1_5e96fd5f-d451-4883-a74e-6b5d3bb27b2a
67,1672,SDA,3/1/2018,fe51c153-fbec-4b64-9b00-2530035ef0e1_94a195a9-27e8-42d2-9a69-61a8c1efe57c,,12351.48,CAD,fe51c153-fbec-4b64-9b00-2530035ef0e1_5e96fd5f-d451-4883-a74e-6b5d3bb27b2a
68,13972,DDA,3/1/2018,fe51c153-fbec-4b64-9b00-2530035ef0e1_93629284-c6e8-4113-b516-a96ad4f59d34,,2420.82,CAD,fe51c153-fbec-4b64-9b00-2530035ef0e1_34b168c4-5d8d-4ec8-a3e0-3cf7fdf609d3
69,13972,SDA,3/1/2018,fe51c153-fbec-4b64-9b00-2530035ef0e1_5ef65da0-22ad-4f6f-93ac-1a19b187dc40,,11488.64,CAD,fe51c153-fbec-4b64-9b00-2530035ef0e1_34b168c4-5d8d-4ec8-a3e0-3cf7fdf609d3
70,1844,DDA,3/1/2018,fe51c153-fbec-4b64-9b00-2530035ef0e1_a22a7c03-007d-4810-8801-63e8220fddd8,,4997.53,CAD,fe51c153-fbec-4b64-9b00-2530035ef0e1_afd85076-983e-433e-a0ec-240897e88d2d
71,1844,SDA,3/1/2018,fe51c153-fbec-4b64-9b00-2530035ef0e1_eb4718e5-9d21-4ece-a561-7c58308f3900,,11214.8,CAD,fe51c153-fbec-4b64-9b00-2530035ef0e1_afd85076-983e-433e-a0ec-240897e88d2d
72,543,DDA,3/1/2018,fe51c153-fbec-4b64-9b00-2530035ef0e1_5bf0f947-b9f8-4ddc-bcba-e77fd76a5c5d,,7301.31,CAD,fe51c153-fbec-4b64-9b00-2530035ef0e1_f115d419-fc06-4b11-ab4f-b0a4a6c43d2c
73,543,SDA,3/1/2018,fe51c153-fbec-4b64-9b00-2530035ef0e1_b1c5e1f1-9bbc-403d-a011-26a836a29ddc,,4051.32,CAD,fe51c153-fbec-4b64-9b00-2530035ef0e1_f115d419-fc06-4b11-ab4f-b0a4a6c43d2c
74,1246,DDA,3/1/2018,fe51c153-fbec-4b64-9b00-2530035ef0e1_21aa26b7-398f-4899-8986-6f332c06e688,,22398.84,CAD,fe51c153-fbec-4b64-9b00-2530035ef0e1_6a7b96dd-d486-4f40-851e-7a8b7e01f390
75,1246,SDA,3/1/2018,fe51c153-fbec-4b64-9b00-2530035ef0e1_2e1aab7c-2280-41fa-a6ae-5d17f8b974b6,,19417.2,CAD,fe51c153-fbec-4b64-9b00-2530035ef0e1_6a7b96dd-d486-4f40-851e-7a8b7e01f390
76,392,DDA,3/1/2018,fe51c153-fbec-4b64-9b00-2530035ef0e1_9d154659-b3e5-45c1-a9b3-53610c66b07a,,0.0,CAD,fe51c153-fbec-4b64-9b00-2530035ef0e1_98620521-67f8-4ad6-a43e-7925c11e1e9c
77,392,SDA,3/1/2018,fe51c153-fbec-4b64-9b00-2530035ef0e1_8813abd5-a197-4ed3-a403-8fd1e09d1fbe,,0.0,CAD,fe51c153-fbec-4b64-9b00-2530035ef0e1_98620521-67f8-4ad6-a43e-7925c11e1e9c
78,1736,DDA,3/1/2018,fe51c153-fbec-4b64-9b00-2530035ef0e1_d4cd7750-7cbf-48a6-84e8-3ac2e4a66524,,10537.92,CAD,fe51c153-fbec-4b64-9b00-2530035ef0e1_c40ba0d6-8cb6-4b03-9bf4-285e3dc31c95
79,1736,SDA,3/1/2018,fe51c153-fbec-4b64-9b00-2530035ef0e1_ed28a0cb-3dee-4682-bda7-f7952418bc48,,22281.84,CAD,fe51c153-fbec-4b64-9b00-2530035ef0e1_c40ba0d6-8cb6-4b03-9bf4-285e3dc31c95
80,12020,DDA,3/1/2018,fe51c153-fbec-4b64-9b00-2530035ef0e1_4f2d2053-c27c-4667-9da0-d9ff704bcaf7,,2595.31,CAD,fe51c153-fbec-4b64-9b00-2530035ef0e1_31d3cafe-a6e7-42f1-9ed1-c126106792c1
81,12020,SDA,3/1/2018,fe51c153-fbec-4b64-9b00-2530035ef0e1_1a66f8ab-ddb1-4d3c-8881-5e076affb513,,10249.16,CAD,fe51c153-fbec-4b64-9b00-2530035ef0e1_31d3cafe-a6e7-42f1-9ed1-c126106792c1
82,1175,DDA,3/1/2018,fe51c153-fbec-4b64-9b00-2530035ef0e1_17eccd51-425d-46d2-8bb4-c54dea0c65eb,,-8333.05,CAD,fe51c153-fbec-4b64-9b00-2530035ef0e1_98c126bf-e158-434f-b240-af6df9ab1616
83,1175,SDA,3/1/2018,fe51c153-fbec-4b64-9b00-2530035ef0e1_857e4586-5a37-4a22-b679-eec172ca7e39,,26024.4,CAD,fe51c153-fbec-4b64-9b00-2530035ef0e1_98c126bf-e158-434f-b240-af6df9ab1616
84,1924,DDA,3/1/2018,fe51c153-fbec-4b64-9b00-2530035ef0e1_f5e536fd-834c-48f1-bcef-91d4692e4b5b,,4636.32,CAD,fe51c153-fbec-4b64-9b00-2530035ef0e1_a625ff2b-9031-4649-9a6b-7136e88813ad
85,1924,SDA,3/1/2018,fe51c153-fbec-4b64-9b00-2530035ef0e1_1a1db59a-00f3-4b38-864c-417030b0b0c7,,9229.72,CAD,fe51c153-fbec-4b64-9b00-2530035ef0e1_a625ff2b-9031-4649-9a6b-7136e88813ad
86,11653,DDA,3/1/2018,fe51c153-fbec-4b64-9b00-2530035ef0e1_67b88c87-5d58-464e-b9fa-ebb9fc5159b6,,44400.81,CAD,fe51c153-fbec-4b64-9b00-2530035ef0e1_ec907f95-0f7c-418b-b5db-3648865d6790
87,11653,SDA,3/1/2018,fe51c153-fbec-4b64-9b00-2530035ef0e1_e8639c97-9454-44e7-ba92-0cf0a0533568,,33176.48,CAD,fe51c153-fbec-4b64-9b00-2530035ef0e1_ec907f95-0f7c-418b-b5db-3648865d6790
88,1033,DDA,3/1/2018,fe51c153-fbec-4b64-9b00-2530035ef0e1_0a3faa19-1518-4d83-a8a4-bee57d69eea8,,11109.81,CAD,fe51c153-fbec-4b64-9b00-2530035ef0e1_c1e2c3c8-bee9-4851-86d9-a56252fcc1e3
89,1033,SDA,3/1/2018,fe51c153-fbec-4b64-9b00-2530035ef0e1_5f464fc7-6bbc-4c84-8f0b-540620726953,,6459.6,CAD,fe51c153-fbec-4b64-9b00-2530035ef0e1_c1e2c3c8-bee9-4851-86d9-a56252fcc1e3
90,538,DDA,3/1/2018,fe51c153-fbec-4b64-9b00-2530035ef0e1_9bfb54b6-fe81-45c3-8caf-ac9ce224c7b3,,17457.08,CAD,fe51c153-fbec-4b64-9b00-2530035ef0e1_89c63095-2b5b-4efc-8428-5835539a210e
91,538,SDA,3/1/2018,fe51c153-fbec-4b64-9b00-2530035ef0e1_dccf8f2f-c348-4ab3-af31-904ff4e20796,,18009.6,CAD,fe51c153-fbec-4b64-9b00-2530035ef0e1_89c63095-2b5b-4efc-8428-5835539a210e
92,1337,DDA,3/1/2018,fe51c153-fbec-4b64-9b00-2530035ef0e1_6a576a36-3f71-47b3-81e2-c9b46532b2da,,3576.99,CAD,fe51c153-fbec-4b64-9b00-2530035ef0e1_b7d283da-df5d-48d9-ac12-035a792c1d95
93,1337,SDA,3/1/2018,fe51c153-fbec-4b64-9b00-2530035ef0e1_c2db9c21-2864-496f-adac-e62e55388cef,,4532.74,CAD,fe51c153-fbec-4b64-9b00-2530035ef0e1_b7d283da-df5d-48d9-ac12-035a792c1d95
94,241,DDA,3/1/2018,fe51c153-fbec-4b64-9b00-2530035ef0e1_485e0546-b1b2-4a46-9e60-40e3d5ec08ce,,-3323.15,CAD,fe51c153-fbec-4b64-9b00-2530035ef0e1_57a7278f-70d0-4fc9-8c1a-417d9270cdbe
95,241,SDA,3/1/2018,fe51c153-fbec-4b64-9b00-2530035ef0e1_d1fbcd01-001e-4910-be7b-af089ebb3f09,,36963.2,CAD,fe51c153-fbec-4b64-9b00-2530035ef0e1_57a7278f-70d0-4fc9-8c1a-417d9270cdbe
96,1195,DDA,3/1/2018,fe51c153-fbec-4b64-9b00-2530035ef0e1_5a81526e-fc69-48e9-aa80-009d81822609,,66974.28,CAD,fe51c153-fbec-4b64-9b00-2530035ef0e1_667ccda2-7619-47f2-94a1-245b69fd8958
97,1195,SDA,3/1/2018,fe51c153-fbec-4b64-9b00-2530035ef0e1_7e994bf1-4697-4e4b-9f40-fb87853350f6,,40978.36,CAD,fe51c153-fbec-4b64-9b00-2530035ef0e1_667ccda2-7619-47f2-94a1-245b69fd8958
98,392,DDA,3/1/2018,fe51c153-fbec-4b64-9b00-2530035ef0e1_af816965-a17f-4795-9e6a-80e5bf6a52c8,,16136.41,CAD,fe51c153-fbec-4b64-9b00-2530035ef0e1_f340a115-573b-44a2-abda-78dd877b2554
99,392,SDA,3/1/2018,fe51c153-fbec-4b64-9b00-2530035ef0e1_a93033f1-4b86-4d75-ab1e-81da10538bb5,,41014.12,CAD,fe51c153-fbec-4b64-9b00-2530035ef0e1_f340a115-573b-44a2-abda-78dd877b2554
100,1459,DDA,3/1/2018,fe51c153-fbec-4b64-9b00-2530035ef0e1_4b30360d-659e-49b9-b848-ff9d65bdd9c0,,4092.05,CAD,fe51c153-fbec-4b64-9b00-2530035ef0e1_a3500815-4ac4-484d-814e-a33f914cc32d
101,1459,SDA,3/1/2018,fe51c153-fbec-4b64-9b00-2530035ef0e1_fdfa208f-b26f-4308-8703-be2392957199,,8301.22,CAD,fe51c153-fbec-4b64-9b00-2530035ef0e1_a3500815-4ac4-484d-814e-a33f914cc32d
102,1459,DDA,3/1/2018,fe51c153-fbec-4b64-9b00-2530035ef0e1_b7cf21bb-510e-436d-8f95-bce229557fac,,7585.03,CAD,fe51c153-fbec-4b64-9b00-2530035ef0e1_c18112cf-410c-4a3e-944f-f493779a3a9a
103,1459,SDA,3/1/2018,fe51c153-fbec-4b64-9b00-2530035ef0e1_fb6b8a75-53a4-4475-9339-8af1bd5ae762,,8881.86,CAD,fe51c153-fbec-4b64-9b00-2530035ef0e1_c18112cf-410c-4a3e-944f-f493779a3a9a
